iter	Passed	Remaining
0	1	101
1	1	90
2	2	84
3	3	77
4	3	75
5	4	74
6	5	73
7	6	73
8	7	72
9	7	71
10	8	70
11	9	69
12	10	67
13	10	66
14	11	65
15	12	64
16	13	64
17	13	62
18	14	61
19	15	60
20	15	60
21	16	59
22	17	59
23	18	59
24	19	59
25	20	58
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	49
36	28	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	32	43
43	33	43
44	34	42
45	35	41
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	39	36
52	40	36
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
