iter	Passed	Remaining
0	122	122443
1	125	62724
2	128	42581
3	131	32716
4	134	26731
5	136	22613
6	139	19758
7	142	17712
8	145	16037
9	148	14661
10	150	13571
11	155	12786
12	157	11928
13	158	11195
14	160	10554
15	162	10024
16	164	9488
17	164	8998
18	166	8608
19	169	8316
20	172	8019
21	174	7755
22	176	7478
23	178	7240
24	179	7001
25	181	6797
26	183	6622
27	185	6429
28	186	6237
29	187	6067
30	188	5906
31	190	5764
32	191	5620
33	193	5487
34	194	5355
35	195	5225
36	196	5113
37	197	5007
38	199	4908
39	200	4805
40	201	4702
41	201	4604
42	202	4511
43	203	4423
44	204	4337
45	205	4254
46	206	4178
47	206	4103
48	207	4030
49	208	3959
50	209	3892
51	209	3827
52	210	3770
53	212	3719
54	213	3674
55	215	3630
56	216	3582
57	217	3530
58	218	3483
59	219	3434
60	220	3387
61	220	3340
62	221	3295
63	222	3250
64	222	3207
65	223	3166
66	224	3126
67	226	3104
68	228	3079
69	229	3045
70	230	3014
71	231	2982
72	232	2950
73	233	2917
74	233	2885
75	234	2853
76	235	2823
77	236	2792
78	236	2762
79	237	2735
80	238	2707
81	239	2681
82	239	2651
83	241	2630
84	242	2608
85	243	2585
86	244	2562
87	245	2539
88	245	2516
89	246	2493
90	247	2470
91	248	2448
92	248	2428
93	249	2407
94	250	2386
95	251	2366
96	252	2347
97	252	2328
98	253	2308
99	254	2290
100	255	2271
101	256	2258
102	257	2243
103	258	2228
104	259	2212
105	260	2200
106	262	2187
107	262	2170
108	263	2154
109	264	2138
110	265	2123
111	265	2108
112	266	2093
113	267	2078
114	268	2064
115	269	2050
116	269	2035
117	270	2023
118	272	2015
119	273	2006
120	274	1996
121	275	1983
122	276	1970
123	277	1957
124	278	1946
125	279	1935
126	279	1922
127	280	1911
128	281	1900
129	282	1889
130	283	1878
131	283	1867
132	284	1856
133	285	1845
134	286	1838
135	287	1828
136	288	1818
137	289	1807
138	290	1797
139	290	1786
140	291	1776
141	292	1765
142	292	1755
143	293	1745
144	294	1735
145	295	1725
146	295	1716
147	296	1707
148	297	1698
149	298	1689
150	299	1682
151	300	1674
152	301	1666
153	302	1661
154	303	1655
155	304	1649
156	305	1642
157	306	1635
158	307	1627
159	308	1619
160	308	1610
161	309	1601
162	310	1593
163	311	1586
164	311	1578
165	312	1572
166	313	1564
167	314	1557
168	315	1550
169	316	1544
170	317	1538
171	318	1533
172	319	1527
173	320	1522
174	321	1517
175	322	1510
176	323	1503
177	324	1497
178	325	1491
179	326	1485
180	326	1479
181	327	1472
182	328	1466
183	329	1460
184	329	1453
185	330	1446
186	332	1443
187	333	1439
188	334	1434
189	335	1429
190	336	1424
191	337	1418
192	337	1412
193	338	1406
194	339	1400
195	340	1395
196	340	1389
197	341	1383
198	342	1378
199	343	1372
200	343	1367
201	344	1361
202	345	1356
203	346	1351
204	347	1348
205	348	1344
206	350	1341
207	350	1336
208	351	1331
209	352	1325
210	353	1320
211	353	1315
212	354	1310
213	355	1306
214	356	1301
215	357	1296
216	357	1291
217	358	1286
218	359	1281
219	360	1276
220	360	1272
221	362	1269
222	363	1265
223	364	1261
224	365	1257
225	366	1253
226	366	1249
227	367	1245
228	368	1240
229	369	1236
230	370	1232
231	371	1228
232	371	1224
233	372	1220
234	373	1216
235	374	1211
236	375	1207
237	375	1202
238	376	1198
239	378	1197
240	379	1194
241	380	1191
242	381	1188
243	382	1185
244	383	1181
245	384	1178
246	385	1174
247	385	1170
248	386	1166
249	387	1162
250	388	1159
251	389	1155
252	390	1151
253	390	1147
254	391	1143
255	392	1141
256	394	1140
257	395	1137
258	396	1134
259	397	1131
260	398	1128
261	399	1124
262	400	1120
263	400	1117
264	401	1113
265	402	1109
266	403	1106
267	403	1102
268	404	1098
269	405	1095
270	406	1093
271	407	1090
272	408	1088
273	409	1085
274	410	1081
275	411	1078
276	412	1075
277	412	1072
278	413	1068
279	414	1065
280	415	1062
281	415	1059
282	416	1056
283	417	1052
284	418	1049
285	419	1046
286	420	1043
287	420	1040
288	421	1037
289	422	1034
290	423	1032
291	424	1029
292	425	1027
293	426	1024
294	427	1021
295	428	1018
296	429	1015
297	429	1012
298	430	1009
299	431	1006
300	432	1003
301	432	1000
302	433	997
303	434	995
304	435	992
305	436	990
306	438	989
307	439	987
308	440	984
309	441	981
310	442	979
311	443	977
312	444	974
313	444	971
314	445	969
315	446	966
316	447	963
317	447	960
318	448	958
319	449	955
320	450	953
321	451	950
322	452	947
323	453	946
324	455	945
325	456	943
326	457	940
327	457	938
328	458	935
329	459	932
330	460	930
331	461	928
332	462	925
333	462	923
334	463	920
335	464	918
336	465	915
337	466	913
338	467	910
339	467	907
340	469	906
341	470	905
342	471	903
343	472	901
344	473	898
345	474	896
346	474	893
347	475	891
348	476	888
349	477	886
350	477	883
351	478	881
352	479	878
353	480	876
354	480	873
355	481	871
356	482	868
357	483	866
358	484	865
359	485	863
360	486	861
361	487	859
362	488	857
363	489	854
364	489	852
365	490	850
366	491	847
367	492	845
368	492	842
369	493	840
370	494	838
371	495	835
372	495	833
373	496	831
374	497	829
375	498	827
376	500	826
377	501	824
378	502	822
379	503	821
380	504	819
381	505	817
382	506	815
383	506	813
384	507	810
385	508	808
386	509	806
387	509	804
388	510	802
389	511	800
390	512	798
391	513	795
392	514	794
393	515	793
394	516	791
395	517	789
396	518	788
397	519	786
398	520	783
399	521	781
400	521	779
401	522	777
402	523	775
403	524	773
404	525	771
405	525	769
406	526	767
407	527	765
408	528	763
409	528	761
410	530	759
411	531	757
412	531	755
413	532	753
414	533	751
415	534	749
416	534	747
417	535	745
418	536	743
419	537	741
420	537	739
421	538	737
422	539	735
423	540	733
424	540	731
425	541	729
426	542	727
427	543	726
428	544	724
429	545	723
430	546	721
431	547	719
432	548	718
433	549	716
434	549	714
435	550	712
436	551	710
437	552	708
438	553	706
439	553	705
440	554	703
441	555	701
442	556	699
443	557	697
444	558	696
445	558	694
446	559	692
447	561	691
448	562	689
449	563	688
450	563	686
451	565	685
452	565	683
453	566	681
454	567	680
455	568	678
456	569	677
457	570	675
458	571	673
459	572	671
460	573	669
461	573	668
462	574	666
463	576	665
464	577	664
465	578	663
466	579	661
467	580	659
468	581	658
469	582	656
470	583	654
471	584	653
472	585	651
473	585	650
474	586	648
475	587	646
476	588	644
477	589	643
478	590	642
479	592	641
480	593	640
481	594	639
482	595	637
483	596	636
484	597	634
485	598	633
486	599	631
487	600	629
488	600	627
489	601	626
490	602	624
491	603	622
492	604	621
493	605	619
494	606	618
495	607	617
496	608	616
497	609	614
498	610	612
499	611	611
500	611	609
501	612	607
502	613	606
503	614	604
504	615	602
505	615	601
506	616	599
507	617	598
508	618	596
509	619	594
510	619	593
511	621	592
512	622	590
513	623	589
514	624	587
515	625	586
516	626	585
517	627	583
518	628	582
519	628	580
520	629	578
521	630	577
522	631	575
523	631	573
524	632	572
525	633	570
526	634	569
527	634	567
528	636	566
529	637	565
530	638	564
531	639	562
532	640	561
533	641	559
534	642	558
535	643	556
536	644	555
537	644	553
538	645	552
539	646	550
540	647	548
541	647	547
542	648	545
543	649	544
544	650	542
545	651	542
546	653	540
547	654	539
548	654	537
549	655	536
550	656	534
551	657	533
552	658	532
553	658	530
554	659	529
555	660	527
556	661	525
557	662	524
558	662	522
559	663	521
560	664	519
561	665	518
562	665	516
563	667	515
564	668	514
565	669	512
566	669	511
567	670	510
568	671	508
569	672	507
570	673	505
571	673	504
572	674	502
573	675	501
574	676	499
575	676	498
576	677	496
577	678	495
578	679	493
579	680	492
580	680	491
581	682	490
582	683	488
583	684	487
584	685	486
585	686	485
586	687	483
587	688	482
588	688	480
589	689	479
590	690	478
591	691	476
592	692	475
593	693	473
594	693	472
595	694	470
596	695	469
597	698	469
598	699	468
599	700	467
600	702	466
601	703	464
602	704	463
603	704	462
604	705	460
605	706	459
606	707	457
607	707	456
608	708	455
609	709	453
610	710	452
611	711	450
612	712	449
613	713	448
614	714	447
615	715	446
616	716	444
617	717	443
618	718	442
619	719	440
620	719	439
621	720	437
622	721	436
623	722	435
624	722	433
625	723	432
626	724	431
627	725	429
628	726	428
629	727	427
630	728	426
631	729	424
632	730	423
633	731	422
634	732	421
635	733	419
636	734	418
637	734	417
638	735	415
639	736	414
640	737	412
641	738	411
642	739	410
643	739	408
644	740	407
645	741	406
646	742	405
647	743	404
648	745	402
649	745	401
650	747	400
651	748	399
652	749	398
653	750	396
654	751	395
655	751	394
656	752	392
657	753	391
658	754	390
659	754	388
660	755	387
661	756	386
662	757	384
663	758	383
664	760	383
665	761	381
666	762	380
667	763	379
668	764	378
669	764	376
670	765	375
671	766	374
672	767	372
673	768	371
674	768	370
675	769	368
676	770	367
677	770	366
678	771	364
679	772	363
680	774	362
681	774	361
682	775	360
683	776	358
684	777	357
685	778	356
686	779	355
687	780	353
688	781	352
689	782	351
690	782	350
691	783	348
692	784	347
693	785	346
694	786	344
695	786	343
696	787	342
697	789	341
698	790	340
699	790	338
700	791	337
701	792	336
702	793	335
703	794	333
704	794	332
705	795	331
706	796	330
707	797	328
708	798	327
709	798	326
710	799	325
711	800	323
712	801	322
713	802	321
714	803	320
715	804	319
716	805	318
717	807	316
718	808	315
719	809	314
720	810	313
721	811	312
722	811	311
723	812	309
724	813	308
725	814	307
726	814	306
727	815	304
728	816	303
729	817	302
730	818	301
731	820	300
732	821	299
733	822	297
734	823	296
735	823	295
736	824	294
737	825	293
738	826	291
739	827	290
740	827	289
741	828	288
742	829	286
743	830	285
744	830	284
745	831	283
746	833	282
747	834	281
748	835	280
749	837	279
750	838	277
751	838	276
752	839	275
753	840	274
754	841	272
755	841	271
756	842	270
757	843	269
758	844	268
759	845	266
760	846	265
761	846	264
762	847	263
763	849	262
764	850	261
765	851	260
766	852	258
767	853	257
768	854	256
769	855	255
770	855	254
771	856	253
772	857	251
773	858	250
774	859	249
775	860	248
776	861	247
777	861	245
778	862	244
779	864	243
780	865	242
781	866	241
782	867	240
783	868	239
784	869	238
785	870	236
786	871	235
787	871	234
788	872	233
789	873	232
790	874	231
791	875	229
792	876	228
793	876	227
794	877	226
795	878	225
796	879	224
797	881	223
798	882	222
799	883	220
800	884	219
801	885	218
802	886	217
803	887	216
804	887	215
805	888	213
806	889	212
807	890	211
808	891	210
809	892	209
810	892	208
811	894	207
812	895	205
813	896	204
814	897	203
815	899	202
816	900	201
817	901	200
818	902	199
819	903	198
820	904	197
821	905	196
822	906	194
823	907	193
824	908	192
825	910	191
826	911	190
827	912	189
828	914	188
829	914	187
830	915	186
831	917	185
832	918	184
833	918	182
834	919	181
835	920	180
836	921	179
837	922	178
838	925	177
839	927	176
840	928	175
841	929	174
842	931	173
843	931	172
844	932	171
845	933	169
846	934	168
847	935	167
848	936	166
849	937	165
850	940	164
851	941	163
852	942	162
853	943	161
854	944	160
855	945	159
856	946	157
857	947	156
858	948	155
859	949	154
860	950	153
861	951	152
862	952	151
863	953	150
864	955	149
865	956	148
866	957	146
867	958	145
868	960	144
869	961	143
870	962	142
871	963	141
872	964	140
873	965	139
874	966	138
875	967	136
876	969	135
877	970	134
878	971	133
879	972	132
880	973	131
881	974	130
882	975	129
883	976	128
884	977	127
885	978	125
886	979	124
887	980	123
888	981	122
889	982	121
890	984	120
891	985	119
892	986	118
893	987	117
894	988	116
895	989	114
896	990	113
897	991	112
898	992	111
899	993	110
900	993	109
901	994	108
902	995	106
903	996	105
904	996	104
905	997	103
906	999	102
907	1000	101
908	1001	100
909	1002	99
910	1003	98
911	1004	96
912	1005	95
913	1005	94
914	1006	93
915	1007	92
916	1008	91
917	1009	90
918	1009	89
919	1010	87
920	1011	86
921	1012	85
922	1012	84
923	1014	83
924	1015	82
925	1016	81
926	1017	80
927	1017	78
928	1018	77
929	1019	76
930	1020	75
931	1020	74
932	1021	73
933	1022	72
934	1023	71
935	1023	70
936	1024	68
937	1025	67
938	1026	66
939	1027	65
940	1027	64
941	1028	63
942	1030	62
943	1031	61
944	1032	60
945	1033	58
946	1034	57
947	1035	56
948	1035	55
949	1036	54
950	1037	53
951	1038	52
952	1038	51
953	1039	50
954	1040	49
955	1041	47
956	1042	46
957	1042	45
958	1043	44
959	1044	43
960	1046	42
961	1046	41
962	1047	40
963	1048	39
964	1049	38
965	1050	36
966	1051	35
967	1052	34
968	1052	33
969	1053	32
970	1054	31
971	1055	30
972	1055	29
973	1056	28
974	1057	27
975	1058	26
976	1059	24
977	1061	23
978	1062	22
